Country;Region;GDP;Year
United States ;Americas ;25035164;2022
China ;Asia ;18321197;2022
Japan ;Asia ;4300621;2022
Germany ;Europe ;4031149;2022
India ;Asia ;3468566;2022
United Kingdom ;Europe ;3198470;2022
France ;Europe ;2778090;2022
Canada ;Americas ;2200352;2022
Russia ;Europe ;2133092;2022
Italy ;Europe ;1996934;2022
United States ;Americas ;22996100;2021
China ;Asia ;17734063;2021
Japan ;Asia ;4937422;2021
Germany ;Europe ;4223116;2021
India ;Asia ;3173398;2021
United Kingdom ;Europe ;3186860;2021
France ;Europe ;2937473;2021
Canada ;Americas ;1990762;2021
Russia ;Europe ;1775800;2021
Italy ;Europe ;2099880;2021
